,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
2331,CELTA,ATLETICO MADRID,0-2,0-1,5.6,5.5,6.5,52,48,8.0,5.0,15.0,2.0,8.0,7.0,79.0,13.0,9.0,16.0,3.0,0.0,0.0,4.0,4.0,9.0,1.0,4.0,23.0,80.0,14.0,9.0,18.0,4.0,0.0,0.0,0,2,2,0,2020
2332,REAL MADRID,CÁDIZ CF,0-1,0-1,4.0,5.0,7.7,75,25,8.0,2.0,14.0,4.0,4.0,24.0,88.0,15.0,13.0,7.0,2.0,0.0,0.0,9.0,5.0,14.0,0.0,11.0,13.0,58.0,20.0,25.0,5.0,0.0,0.0,0.0,0,1,1,0,2020
2333,GETAFE,BARCELONA,1-0,0-0,3.9,6.8,5.4,27,73,4.0,4.0,9.0,1.0,7.0,17.0,58.0,10.0,9.0,20.0,4.0,0.0,0.0,5.0,1.0,7.0,1.0,2.0,13.0,87.0,22.0,15.0,10.0,3.0,0.0,0.0,1,0,0,1,2020
2334,EIBAR,OSASUNA,0-0,0-0,2.9,6.1,5.6,52,48,1.0,6.0,10.0,3.0,6.0,26.0,63.0,31.0,23.0,14.0,2.0,0.0,0.0,4.0,2.0,8.0,2.0,7.0,33.0,61.0,42.0,25.0,14.0,2.0,1.0,0.0,0,0,0,0,2020
2335,ATHLETIC,LEVANTE,2-0,0-0,4.1,7.0,5.4,52,48,6.0,5.0,14.0,3.0,9.0,28.0,80.0,19.0,15.0,11.0,3.0,0.0,0.0,3.0,1.0,6.0,2.0,3.0,20.0,77.0,9.0,20.0,10.0,1.0,0.0,0.0,2,0,0,2,2020
2336,VILLARREAL,VALENCIA,2-1,1-1,6.2,6.6,5.5,62,38,7.0,6.0,16.0,3.0,3.0,14.0,89.0,7.0,13.0,13.0,3.0,1.0,0.0,5.0,3.0,11.0,3.0,7.0,11.0,83.0,10.0,20.0,8.0,1.0,0.0,0.0,2,1,1,2,2020
2337,HUESCA,VALLADOLID,2-2,0-1,7.2,6.9,5.4,66,34,3.0,7.0,12.0,2.0,3.0,23.0,83.0,24.0,14.0,14.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,18.0,66.0,16.0,31.0,24.0,2.0,0.0,0.0,2,2,2,2,2020
2338,ALAVÉS,ELCHE,0-2,0-1,4.7,5.1,7.5,46,54,7.0,2.0,13.0,4.0,2.0,19.0,83.0,13.0,15.0,11.0,2.0,0.0,0.0,1.0,3.0,7.0,3.0,6.0,14.0,82.0,7.0,14.0,11.0,5.0,0.0,0.0,0,2,2,0,2020
2339,REAL BETIS,REAL SOCIEDAD,0-3,0-1,5.0,4.3,7.9,55,45,4.0,1.0,7.0,2.0,6.0,18.0,78.0,30.0,11.0,11.0,2.0,0.0,0.0,2.0,5.0,8.0,1.0,2.0,24.0,72.0,20.0,7.0,18.0,1.0,0.0,0.0,0,3,3,0,2020
2340,ELCHE,VALENCIA,2-1,2-0,5.2,7.2,5.7,47,53,0.0,2.0,3.0,1.0,0.0,30.0,83.0,12.0,17.0,15.0,3.0,0.0,0.0,6.0,4.0,14.0,4.0,7.0,17.0,87.0,6.0,8.0,8.0,2.0,0.0,0.0,2,1,1,2,2020
